setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,variant,sexe,grup_edat,index_socioeconomic,recompte
5,2021,01/02/2021,07/02/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Alpha (B.1.1.7),Home,35 a 39,1,1
29,2022,18/07/2022,24/07/2022,62,Camp de Tarragona,62,Camp de Tarragona,Omicron (BA.5),Home,35 a 39,4,1
5,2021,01/02/2021,07/02/2021,64,Girona,64,Girona,Altres,Dona,35 a 39,4,1
27,2023,03/07/2023,09/07/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (XBB.1),Home,60 a 64,4,1
8,2021,22/02/2021,28/02/2021,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Alpha (B.1.1.7),Dona,10 a 14,2,1
25,2022,20/06/2022,26/06/2022,62,Camp de Tarragona,62,Camp de Tarragona,Omicron (BA.5),Dona,80 o més,3,1
15,2022,11/04/2022,17/04/2022,70,Penedès,70,Penedès,Omicron (BA.1),Home,60 a 64,-1,1
14,2022,04/04/2022,10/04/2022,64,Girona,64,Girona,Omicron (BA.2),Home,70 a 74,3,3
2,2023,09/01/2023,15/01/2023,62,Camp de Tarragona,62,Camp de Tarragona,Omicron (BQ.1),Home,80 o més,4,1
23,2021,07/06/2021,13/06/2021,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Delta (B.1.617.2),Home,40 a 44,3,1
44,2022,31/10/2022,06/11/2022,61,Lleida,61,Lleida,Omicron (BA.2),Home,80 o més,3,1
6,2021,08/02/2021,14/02/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Alpha (B.1.1.7),Home,40 a 44,4,2
4,2022,24/01/2022,30/01/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.1),Home,80 o més,2,9
27,2021,05/07/2021,11/07/2021,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Delta (B.1.617.2),Dona,55 a 59,2,2
41,2022,10/10/2022,16/10/2022,61,Lleida,61,Lleida,Omicron (BA.5),Home,80 o més,2,1
35,2022,29/08/2022,04/09/2022,61,Lleida,61,Lleida,Omicron (BA.2),Home,70 a 74,3,1
32,2022,08/08/2022,14/08/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BA.5),Dona,35 a 39,2,1
38,2021,20/09/2021,26/09/2021,67,Catalunya Central,67,Catalunya Central,Delta (B.1.617.2),Home,45 a 49,3,1
12,2021,22/03/2021,28/03/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,B.1.177,Home,80 o més,1,1
49,2021,06/12/2021,12/12/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Home,5 a 9,3,5
18,2021,03/05/2021,09/05/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Delta (B.1.617.2),Dona,70 a 74,3,1
52,2021,27/12/2021,02/01/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.1),Home,40 a 44,2,2
